http://cmt#enterConferenceDetails;enter conference details;enter;come in;get in;get into;go in;go into;move into;!exit;conference;group discussion;detail;item;point
http://cmt#detailsEnteredBy;details entered by;detail;item;point;enter;come in;get in;get into;go in;go into;move into;!exit;;
;;;;;;;;;;;;;;
http://cmt#finalizePaperAssignment;finalize paper assignment;finalize;finalise;nail down;settle;paper;assignment;appointment;designation;naming;;;;
http://cmt#paperAssignmentFinalizedBy;paper assignment finalized by;paper;assignment;appointment;designation;naming;finalize;finalise;nail down;settle;;;;
;;;;;;;;;;;;;;
http://cmt#assignedTo;assigned to;assign;delegate;depute;designate;;;;;;;;;
http://cmt#hasBeenAssigned;have been assigned;have;feature;!lack;be;exist;assign;delegate;depute;designate;;;;
;;;;;;;;;;;;;;
http://cmt#memberOfConference;member of conference;member;fellow member;!nonmember;conference;group discussion;;;;;;;;
http://cmt#hasConferenceMember;have conference member;have;feature;!lack;conference;group discussion;member;fellow member;!nonmember;;;;;
;;;;;;;;;;;;;;
http://cmt#rejectedBy;rejected by;reject;decline;pass up;refuse;turn down;;;;;;;;
http://cmt#rejectPaper;reject paper;reject;decline;pass up;refuse;turn down;paper;;;;;;;
;;;;;;;;;;;;;;
http://cmt#adjustedBy;adjusted by;adjust;adapt;conform;;;;;;;;;;
http://cmt#adjustBid;adjust bid;adjust;adapt;conform;bid;bidding;command;dictation;;;;;;
;;;;;;;;;;;;;;
http://cmt#acceptedBy;accepted by;accept;consent;go for;!refuse;;;;;;;;;
http://cmt#acceptPaper;accept paper;accept;consent;go for;!refuse;paper;;;;;;;;
;;;;;;;;;;;;;;
http://cmt#hasSubjectArea;have subject area;have;feature;!lack;subject;theme;topic;area;arena;domain;field;orbit;sphere;
;;;;;;;;;;;;;;
http://cmt#hasBid;have bid;have;feature;!lack;bid;bidding;command;dictation;;;;;;
;;;;;;;;;;;;;;
http://cmt#enterReviewCriteria;enter review criteria;enter;come in;get in;get into;go in;go into;move into;!exit;review;critical review;critique;review article;
http://cmt#reviewCriteriaEnteredBy;review criteria entered by;review;critical review;critique;review article;enter;come in;get in;get into;go in;go into;move into;!exit;
;;;;;;;;;;;;;;
http://cmt#assignExternalReviewer;assign external reviewer;assign;delegate;depute;designate;external;international;outside;reviewer;reader;referee;;;
http://cmt#assignedByReviewer;assigned by reviewer;assign;delegate;depute;designate;reviewer;reader;referee;;;;;;
;;;;;;;;;;;;;;
http://cmt#enableVirtualMeeting;enable virtual meeting;enable;!disable;virtual;meet;assemble;foregather;forgather;gather;;;;;
http://cmt#virtualMeetingEnabledBy;virtual meeting enabled by;virtual;meet;assemble;foregather;forgather;gather;enable;!disable;;;;;
;;;;;;;;;;;;;;
http://cmt#hardcopyMailingManifestsPrintedBy;hardcopy mailing manifests printed by;mail;post;send;manifest;attest;certify;demonstrate;evidence;print;publish;;;
http://cmt#printHardcopyMailingManifests;print hardcopy mailing manifests;print;publish;mail;post;send;manifest;attest;certify;demonstrate;evidence;;;
;;;;;;;;;;;;;;
http://cmt#reviewCriteriaEnteredBy;review criteria entered by;review;critical review;critique;review article;enter;come in;get in;get into;go in;go into;move into;!exit;
http://cmt#enterReviewCriteria;enter review criteria;enter;come in;get in;get into;go in;go into;move into;!exit;review;critical review;critique;review article;
;;;;;;;;;;;;;;
http://cmt#detailsEnteredBy;details entered by;detail;item;point;enter;come in;get in;get into;go in;go into;move into;!exit;;
http://cmt#enterConferenceDetails;enter conference details;enter;come in;get in;get into;go in;go into;move into;!exit;conference;group discussion;detail;item;point
;;;;;;;;;;;;;;
http://cmt#runPaperAssignmentTools;run paper assignment tools;run;be given;incline;lean;tend;paper;assignment;appointment;designation;naming;tool;instrument;
http://cmt#paperAssignmentToolsRunBy;paper assignment tools run by;paper;assignment;appointment;designation;naming;tool;instrument;run;be given;incline;lean;tend;
;;;;;;;;;;;;;;
http://cmt#assignReviewer;assign reviewer;assign;delegate;depute;designate;reviewer;reader;referee;;;;;;
http://cmt#assignedByAdministrator;assigned by administrator;assign;delegate;depute;designate;administrator;decision maker;;;;;;;
;;;;;;;;;;;;;;
http://cmt#rejectPaper;reject paper;reject;decline;pass up;refuse;turn down;paper;;;;;;;
http://cmt#rejectedBy;rejected by;reject;decline;pass up;refuse;turn down;;;;;;;;
;;;;;;;;;;;;;;
http://cmt#adjustBid;adjust bid;adjust;adapt;conform;bid;bidding;command;dictation;;;;;;
http://cmt#adjustedBy;adjust by;adjust;adapt;conform;;;;;;;;;;
;;;;;;;;;;;;;;
http://cmt#hasProgramCommitteeMember;have program committee member;have;feature;!lack;program;plan;programme;committee;commission;member;fellow member;!nonmember;;
http://cmt#memberOfProgramCommittee;member of program committee;member;fellow member;!nonmember;program;plan;programme;committee;commission;;;;;
;;;;;;;;;;;;;;
http://cmt#hasDecision;have decision;have;feature;!lack;decision;conclusion;determination;;;;;;;
;;;;;;;;;;;;;;
http://cmt#hasConflictOfInterest;have conflict of interest;have;feature;!lack;conflict;difference;difference of opinion;dispute;interest;concern;occupy;worry;;
;;;;;;;;;;;;;;
http://cmt#readByReviewer;read by reviewer;read;interpret;translate;understand;reviewer;reader;referee;;;;;;
http://cmt#readPaper;read paper;read;interpret;translate;understand;paper;;;;;;;;
;;;;;;;;;;;;;;
http://cmt#addProgramCommitteeMember;add program committee member;add;append;supply;program;plan;programme;committee;commission;member;fellow member;!nonmember;;
http://cmt#addedBy;added by;add;append;supply;;;;;;;;;;
;;;;;;;;;;;;;;
http://cmt#hasCo-author;have co-author;have;feature;!lack;co-author;;;;;;;;;
http://cmt#co-writePaper;co-write paper;paper;;;;;;;;;;;;
;;;;;;;;;;;;;;
